EEG(uV),delta,theta,alpha,beta
-14.0808,-20.6491,0.862874,0.675297,1.64148
-14.0198,-20.3469,2.92093,-2.07813,4.08858
-16.04,-19.9772,4.7437,-4.33914,5.20365
-17.3462,-19.5398,6.29213,-5.92342,4.14253
-16.9006,-19.036,7.5352,-6.78785,1.42878
-16.1255,-18.4697,8.44994,-6.99706,-1.29507
-16.51,-17.8466,9.02463,-6.66835,-2.49685
-18.4326,-17.1742,9.26102,-5.93368,-1.93041
-19.9768,-16.4611,9.17316,-4.92848,-0.654631
-19.1711,-15.7178,8.7846,-3.7863,0.113048
-16.4368,-14.9556,8.12784,-2.61882,0.129653
-14.0076,-14.1859,7.2467,-1.48988,0.102362
-13.3362,-13.4189,6.19781,-0.411972,0.631137
-13.8428,-12.6627,5.04733,0.622574,1.3798
-14.9292,-11.923,3.86281,1.59797,1.41405
-16.1377,-11.2043,2.70403,2.45232,0.253621
-16.5649,-10.5102,1.61664,3.08979,-1.54865
-16.4673,-9.84412,0.630175,3.41754,-2.82434
-16.1133,-9.20929,-0.239968,3.38537,-2.71057
-15.2832,-8.60853,-0.988517,3.00851,-1.26042
-14.7583,-8.04395,-1.61626,2.36575,0.680077
-13.8489,-7.51662,-2.12702,1.57755,2.11185
-14.1846,-7.02637,-2.52604,0.774461,2.47897
-15.4907,-6.5719,-2.82023,0.0648487,1.82543
-16.6992,-6.1512,-3.01971,-0.489449,0.576068
-15.3442,-5.7621,-3.13898,-0.877364,-0.688983
-12.6953,-5.40246,-3.19494,-1.11604,-1.34261
-12.3108,-5.06965,-3.20201,-1.21936,-0.994093
-14.4775,-4.76014,-3.16924,-1.19101,0.0379854
-16.9067,-4.46983,-3.10276,-1.04864,0.744635
-16.8823,-4.19496,-3.01077,-0.844505,0.335073
-14.4409,-3.93274,-2.905,-0.648411,-0.823492
-11.7371,-3.68109,-2.79621,-0.503587,-1.44266
-10.0586,-3.43763,-2.68805,-0.398173,-0.633091
-10.5652,-3.19896,-2.57467,-0.280417,1.09884
-12.8967,-2.96062,-2.44459,-0.105843,2.23932
-14.9658,-2.71803,-2.28828,0.11986,1.63034
-14.8987,-2.46763,-2.10452,0.335112,-0.459911
-12.8967,-2.2075,-1.90088,0.460386,-2.46848
-11.1328,-1.9371,-1.68851,0.451883,-2.78523
-9.85107,-1.65636,-1.47562,0.329633,-1.09623
-10.968,-1.36505,-1.26449,0.161183,1.34337
-13.5925,-1.06275,-1.05375,0.0157577,2.71698
-17.5598,-0.749645,-0.844281,-0.0796966,2.02384
-20.2148,-0.42767,-0.644703,-0.154904,-0.240218
-20.105,-0.10135,-0.472516,-0.270158,-2.46311
-17.9688,0.222345,-0.348614,-0.463038,-2.99471
-16.7969,0.535218,-0.28778,-0.704203,-1.27123
-16.6077,0.829399,-0.291228,-0.898507,1.69833
-16.9861,1.09843,-0.3456,-0.932785,3.96441
-17.1326,1.33762,-0.427479,-0.734198,4.06133
-15.6067,1.54404,-0.509293,-0.301116,2.07064
-13.6719,1.71663,-0.563254,0.304753,-0.561596
-11.0413,1.85647,-0.56283,0.989081,-2.21844
-8.09937,1.96728,-0.483344,1.65485,-2.25778
-4.69971,2.0557,-0.303022,2.2199,-1.21715
-2.27661,2.1314,-0.00485596,2.62257,-0.141844
